_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
163801,10498633,-74.112615831,4.62824705899999,CL 9-KR 56 30,2019,Octubre,1,martes,8,30,Puente Aranda,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163802,10498634,-74.133316029,4.62971823499998,AV AVENIDA DE LAS AMERICAS-KR 71A 02,2019,Octubre,1,martes,15,5,Kennedy,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163803,10498635,-74.079575049,4.63396417199999,AC 45-KR 30 02,2019,Octubre,2,miércoles,1,40,Teusaquillo,Choque,Objeto Fijo,Objeto Fijo,Con Muertos,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163804,10498636,-74.047630904,4.68512445599998,CL 100-KR 14 63,2019,Octubre,2,miércoles,9,50,Usaquén,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163806,10498638,-74.111610418,4.65467776000003,CL 24-KR 69 02,2019,Octubre,2,miércoles,8,30,Fontibón,Choque,Vehículo,N/A,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163807,10498639,-74.059784749,4.66766854000002,KR 19A-CL 79 81,2019,Octubre,1,martes,11,20,Chapinero,Choque,Vehículo,N/A,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163808,10498640,-74.119305432,4.64957504099999,KR 69B-CL 19A 47,2019,Octubre,2,miércoles,6,42,Fontibón,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163809,10498641,-74.061642734,4.66012064300003,AV AVENIDA CARACAS-CL 72A 28,2019,Octubre,1,martes,16,30,Chapinero,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163810,10498642,-74.105412885,4.651868224,CL 24C-KR 68 02,2019,Octubre,2,miércoles,10,0,Fontibón,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163811,10498643,-74.055206051,4.73573790099999,KR 54-CL 152 02,2019,Octubre,1,martes,16,53,Suba,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
163812,10498644,-74.08191009,4.62570875,AK 30-CL 25 02,2019,Octubre,2,miércoles,14,14,Los Mártires,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163813,10498645,-74.086913236,4.74066003299998,CL 146A-KR 94C 02,2019,Octubre,1,martes,21,41,Suba,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163814,10498646,-74.081872794,4.69879114100002,AV AVENIDA BOYACA-CL 99 76,2019,Octubre,2,miércoles,18,4,Suba,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163815,10498647,-74.184626533,4.62253797300002,CL 57-KR 86K S 02,2019,Octubre,2,miércoles,21,14,Bosa,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163816,10498648,-74.15398849,4.65402101400002,CL 9-KR 90A 2,2019,Octubre,1,martes,22,0,Kennedy,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
163817,10498649,-74.12895646,4.65466244999999,CL 18A-KR 77 2,2019,Octubre,1,martes,13,34,Fontibón,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163818,10498650,-74.100866415,4.56507435200001,KR 7A-CL 34 S 02,2019,Octubre,2,miércoles,6,0,San Cristóbal,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
163819,10498651,-74.124260273,4.56069121899998,KR 12-CL 51 S 2,2019,Octubre,2,miércoles,18,50,Rafael Uribe Uribe,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163820,10498652,-74.145369741,4.59746662200001,AV AVENIDA BOYACA-CL 44C S 02,2019,Octubre,1,martes,21,30,Kennedy,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
