columna,tipo_dato,nulos,no_nulos,valores_unicos
id_registro,int64,0,92,92
objectid_fuente,int64,0,92,92
id_camara,object,0,92,92
nombre_camara,object,0,92,92
direccion,object,0,92,79
numero_acto,object,0,92,5
velocidad_maxima,int64,0,92,4
corredor_principal,object,0,92,18
via_secundaria,object,0,92,37
sentido,object,0,92,4
calzada,object,0,92,3
carriles,int64,0,92,4
localidad,object,0,92,16
infraccion,object,0,92,7
longitud,float64,0,92,85
latitud,float64,0,92,85
longitud_fuente,float64,0,92,85
latitud_fuente,float64,0,92,85
