id_registro,objectid_fuente,id_camara,nombre_camara,direccion,numero_acto,velocidad_maxima,corredor_principal,via_secundaria,sentido,calzada,carriles,localidad,infraccion,longitud,latitud,longitud_fuente,latitud_fuente
1,1,DEI-001/CAM-01,AV 1 DE MAYO - AV BOYACA (N-S) C. RAP,AV BOYACÁ - CL 35 SUR (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Primero de Mayo,(Norte - Sur),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02,-74.14026699984419,4.615664000218827,-74.140267,4.615664
2,2,DEI-001/CAM-02,AV 1 DE MAYO - AV BOYACA (S-N) C. RAP,AV BOYACÁ - CL 35 SUR (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Primero de Mayo,(Sur - Norte),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02,-74.14026099999641,4.615397999523576,-74.140261,4.615398
3,3,DEI-002/CAM-01,AV BOYACA - AV AMERICAS (N-S) C. RAP,AV BOYACÁ - CL 5A (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Américas,(Norte - Sur),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02,-74.1379799996236,4.6285929997156305,-74.13798,4.628593
4,4,DEI-002/CAM-02,AV BOYACA - AV AMERICAS (S-N) C. RAP,AV BOYACÁ - CL 5A (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Américas,(Sur - Norte),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02,-74.1379150002246,4.628479000102544,-74.137915,4.628479
5,5,DEI-003/CAM-01,AK 68 - AV AMERICAS (S-N) C. RAP,AK 68 - CL 4D (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Carrera 68,Av. Américas,(Sur - Norte),Rápida,2,Puente Aranda,C.29 - C.14 - C.35 - D.02,-74.1230539997995,4.627310999725743,-74.123054,4.627311
6,6,DEI-003/CAM-02,AK 68 - AV AMERICAS (N-S) C. RAP,AK 68 - CL 4D (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Carrera 68,Av. Américas,(Norte - Sur),Rápida,2,Puente Aranda,C.29 - C.14 - C.35 - D.02,-74.12298400037763,4.627578999826209,-74.122984,4.627579
7,7,DEI-004/CAM-01,CL 139 - TV 136 (O-E),CL 139 - KR 131 (E-O),MT-20194000619861 Diciembre 13 de 2019,30,Calle 139,TV 136,(Oriente - Occidente),Única,2,Suba,C.29 - C.14 - C.35 - D.02,-74.1124386,4.746529199844173,-74.1124386,4.7465292
8,8,DEI-005/CAM-01,KR 33 - CL 41 SUR (S-N),KR 33 - CL 41 SUR (S-N),MT-20194000619861 Diciembre 13 de 2019,30,Av. Gaitán Cortés,CL 41 Sur,(Sur - Norte),Única,2,Rafael Uribe Uribe,C.29 - C.14 - C.35 - D.02,-74.125872,4.587856999849337,-74.125872,4.587857
9,9,DEI-005/CAM-02,KR 33 - CL 41 SUR (N-S),KR 33 - CL 41 SUR (N-S),MT-20194000619861 Diciembre 13 de 2019,30,Av. Gaitán Cortés,CL 41 Sur,(Norte - Sur),Única,2,Rafael Uribe Uribe,C.29 - C.14 - C.35 - D.02,-74.125872,4.587856999849337,-74.125872,4.587857
10,10,DEI-006/CAM-01,AV BOYACA - AUTP. SUR (N-S) C. RAP,AV BOYACÁ - DG 49 SUR (N-S),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Autopista Sur,(Norte - Sur),Rápida,2,Tunjuelito,C.29 - C.14 - C.35 - D.02,-74.145381,4.592947999849173,-74.145381,4.592948
11,11,DEI-006/CAM-02,AV BOYACA - AUTP. SUR (S-N) C. RAP,AV BOYACÁ - DG 49 SUR (S-N),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Autopista Sur,(Sur - Norte),Rápida,4,Tunjuelito,C.29 - C.14 - C.35 - D.02,-74.145308,4.592971999849184,-74.145308,4.592972
12,12,DEI-007/CAM-01,AV BOYACA - CL 53 (N-S) C. LEN,AV BOYACÁ - CL 53 (N-S),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,CL 53,(Norte - Sur),Rápida,2,Engativá,C.29,-74.10697600000002,4.670858999846638,-74.106976,4.670859
