TID,NAME_FROM,NAME_TO,DISTANCE_m,VEL_MEDIA,VEL_PICO,N_REGISTROS,lat_from,lon_from,lat_to,lon_to,lat,lon,confianza,query_from,query_to
1000003,KR7,CL134;CL127 ,995.0,33.76,27.97,2944,4.5737027,-74.0918262,4.7436789,-74.1230335,4.6586908000000005,-74.10742985,alta,Carrera 7,Calle 134
1000004,KR7,CL127;CL134 ,1041.0,40.7,37.73,2942,4.5737027,-74.0918262,4.7285231,-74.1021337,4.6511129,-74.09697994999999,alta,Carrera 7,Calle 127
1000005,KR7,CL127;CL121 ,533.0,33.52,28.07,2944,4.5737027,-74.0918262,4.7285231,-74.1021337,4.6511129,-74.09697994999999,alta,Carrera 7,Calle 127
1000006,KR7,CL121;CL127 ,553.0,30.04,24.29,2944,4.5737027,-74.0918262,4.6974553,-74.0298601,4.635579,-74.06084315,alta,Carrera 7,Calle 121
1000007,KR7,CL121;CL116 ,568.0,24.82,19.17,2945,4.5737027,-74.0918262,4.6974553,-74.0298601,4.635579,-74.06084315,alta,Carrera 7,Calle 121
1000008,KR7,CL116;CL121 ,562.0,27.12,21.93,2945,4.5737027,-74.0918262,4.6925779,-74.0288797,4.6331403,-74.06035295000001,alta,Carrera 7,Calle 116
1000009,KR7,CL116;CL112 ,350.0,33.4,27.95,2945,4.5737027,-74.0918262,4.6925779,-74.0288797,4.6331403,-74.06035295000001,alta,Carrera 7,Calle 116
1000010,KR7,CL112;CL116 ,355.0,30.58,24.48,2944,4.5737027,-74.0918262,4.6971028,-74.0588552,4.63540275,-74.0753407,alta,Carrera 7,Calle 112
1000011,KR7,CL76;CL72 ,523.0,33.8,29.06,2944,4.5737027,-74.0918262,4.6979085,-74.0996541,4.635805599999999,-74.09574015,alta,Carrera 7,Calle 76
1000012,KR7,CL72;CL76 ,538.0,25.82,18.93,2944,4.5737027,-74.0918262,4.7141771,-74.1295882,4.6439399,-74.11070720000001,alta,Carrera 7,Calle 72
1000013,KR15,CL127;CL106 ,1542.0,24.3,21.19,2944,4.7434325,-74.0367267,4.7285231,-74.1021337,4.735977800000001,-74.0694302,alta,Carrera 15,Calle 127
1000015,KR7,CL112;CL106 ,647.0,27.58,20.69,2945,4.5737027,-74.0918262,4.6971028,-74.0588552,4.63540275,-74.0753407,alta,Carrera 7,Calle 112
1000016,KR7,CL106;CL112 ,648.0,31.83,26.27,2944,4.5737027,-74.0918262,4.6935174,-74.0664765,4.63361005,-74.07915134999999,alta,Carrera 7,Calle 106
1000019,KR7,CL76;CL79 ,393.0,26.63,19.17,2945,4.5737027,-74.0918262,4.6979085,-74.0996541,4.635805599999999,-74.09574015,alta,Carrera 7,Calle 76
1000020,KR7,CL79;CL76 ,394.0,21.92,15.56,2945,4.5737027,-74.0918262,4.663832,-74.0547412,4.618767350000001,-74.07328369999999,alta,Carrera 7,Calle 79
