id_camara,corredor_principal,via_secundaria,latitud,longitud,velocidad_maxima,localidad,TID_2019,dist_m_2019,name_from_2019,name_to_2019,match_2019,TID_2022,dist_m_2022,name_from_2022,name_to_2022,match_2022
DEI-001/CAM-01,Av. Boyacá,Av. Primero de Mayo,4.615664000218827,-74.14026699984419,50,Kennedy,90,284.64467623800897,CL24,KR86;AV.AMERICAS,True,1000942,705.0163742152472,TV39,CL6;CL13,False
DEI-001/CAM-02,Av. Boyacá,Av. Primero de Mayo,4.615397999523576,-74.14026099999641,50,Kennedy,90,291.7873425117946,CL24,KR86;AV.AMERICAS,True,1000942,729.7852364710716,TV39,CL6;CL13,False
DEI-002/CAM-01,Av. Boyacá,Av. Américas,4.628592999715631,-74.1379799996236,50,Kennedy,1000780,301.3139212232806,CL6,KR42;KR36,True,1000780,301.3139212232806,CL6,KR42;KR36,True
DEI-002/CAM-02,Av. Boyacá,Av. Américas,4.628479000102544,-74.1379150002246,50,Kennedy,1000780,287.13163653174405,CL6,KR42;KR36,True,1000780,287.13163653174405,CL6,KR42;KR36,True
DEI-003/CAM-01,Av. Carrera 68,Av. Américas,4.627310999725743,-74.1230539997995,50,Puente Aranda,65,381.3451984986017,AV.P.MAYO,KR80;KR3E,True,1001711,685.9272652801748,CL169B;CL170,KR58;KR20,False
DEI-003/CAM-02,Av. Carrera 68,Av. Américas,4.627578999826209,-74.12298400037763,50,Puente Aranda,65,353.1984819769982,AV.P.MAYO,KR80;KR3E,True,1001711,695.8866679930701,CL169B;CL170,KR58;KR20,False
DEI-004/CAM-01,Calle 139,TV 136,4.746529199844173,-74.1124386,30,Suba,1000951,1466.1219824216798,AV.SUBA,CL127;HUMEDAL.CORDOBA,False,1000951,1466.1219824216798,AV.SUBA,CL127;HUMEDAL.CORDOBA,False
DEI-005/CAM-01,Av. Gaitán Cortés,CL 41 Sur,4.587856999849337,-74.125872,30,Rafael Uribe Uribe,1002271,603.7337751598117,KR72,KR1;KR4AE,False,1002271,603.7337751598117,KR72,KR1;KR4AE,False
DEI-006/CAM-01,Av. Boyacá,Autopista Sur,4.592947999849173,-74.145381,50,Tunjuelito,1000297,201.48320207373428,CL1,KR21;AV.CARACAS,True,1000297,201.48320207373428,CL1,KR21;AV.CARACAS,True
DEI-006/CAM-02,Av. Boyacá,Autopista Sur,4.592971999849184,-74.145308,50,Tunjuelito,1000297,192.954546597918,CL1,KR21;AV.CARACAS,True,1000297,192.954546597918,CL1,KR21;AV.CARACAS,True
DEI-007/CAM-01,Av. Boyacá,CL 53,4.670858999846638,-74.10697600000002,50,Engativá,92,133.6468563116439,"KR50,TV42,TV39",CL6;CL19,True,1000228,279.64179149085965,KR72,CL169;CL170,True
DEI-007/CAM-02,Av. Boyacá,CL 53,4.671710999846603,-74.106668,50,Engativá,1000228,180.76860163880676,KR72,CL169;CL170,True,1000228,180.76860163880676,KR72,CL169;CL170,True
DEI-007/CAM-03,Av. Boyacá,CL 63D,4.675943999846486,-74.102881,50,Engativá,1000228,493.50895658279467,KR72,CL169;CL170,True,1000228,493.50895658279467,KR72,CL169;CL170,True
DEI-008/CAM-01,Av. Bosa,KR 78F,4.6045899998487885,-74.180026,50,Bosa,149,245.51640217996936,AV.CL59SUR,CL59SUR;KR81A,True,1002290,245.51640217996936,AV.CL59SUR,CL59SUR;KR78C,True
DEI-008/CAM-02,Av. Bosa,KR 78F,4.604663999412226,-74.1798620004015,50,Bosa,149,247.48437549011368,AV.CL59SUR,CL59SUR;KR81A,True,1002290,247.48437549011368,AV.CL59SUR,CL59SUR;KR78C,True
DEI-009/CAM-01,Av. Boyacá,Av. Suba,4.722891999844944,-74.073829,50,Suba,1001047,870.6056504580367,KR68,CL66;CL19,False,1001047,870.6056504580367,KR68,CL66;CL19,False
DEI-009/CAM-02,Av. Boyacá,Av. Suba,4.722667999844954,-74.073843,50,Suba,1001047,854.9089598212481,KR68,CL66;CL19,False,1001047,854.9089598212481,KR68,CL66;CL19,False
DEI-010/CAM-01,Autopista Norte,CL 94,4.683742999846218,-74.057933,60,Barrios Unidos,1000036,87.13882867047379,AUTONORTE,CL82;CL80,True,1000036,87.13882867047379,AUTONORTE,CL82;CL80,True
DEI-010/CAM-02,Autopista Norte,CL 94,4.683754999846214,-74.058104,60,Barrios Unidos,1000036,80.47521823078135,AUTONORTE,CL82;CL80,True,1000036,80.47521823078135,AUTONORTE,CL82;CL80,True
DEI-010/CAM-03,Autopista Norte,CL 94,4.684900999846183,-74.05728599999999,60,Chapinero,1000036,234.36483585677982,AUTONORTE,CL82;CL80,True,1000036,234.36483585677982,AUTONORTE,CL82;CL80,True
DEI-011/CAM-01,Av. Ciudad de Cali,Av. Centenario,4.657055999847091,-74.13819599999998,50,Kennedy,1001019,661.2203549094176,KR72,CL75;CL66A,False,1001019,661.2203549094176,KR72,CL75;CL66A,False
DEI-012/CAM-01,Av. NQS,Av. Américas,4.622009999848231,-74.085441,50,Puente Aranda,1001982,157.9643145315081,NQS,CAD;AV.DORADO,True,1001981,157.9643145315081,NQS,CAD;CL18,True
DEI-012/CAM-02,Av. NQS,Av. Américas,4.621979999848231,-74.08554439999999,50,Puente Aranda,1001982,157.9664286348376,NQS,CAD;AV.DORADO,True,1001981,157.9664286348376,NQS,CAD;CL18,True
DEI-013/CAM-01,Av. Calle 80,KR 102,4.712026999845297,-74.114374,50,Engativá,1000723,1555.080949909414,KR86,CL10;AV.AMERICAS,False,1000720,1362.608933425379,KR86,CL13C;CL19A,False
DEI-013/CAM-02,Av. Calle 80,KR 102,4.711926999845301,-74.114011,50,Engativá,1000723,1554.4945476716034,KR86,CL10;AV.AMERICAS,False,1000720,1401.5149416216796,KR86,CL13C;CL19A,False
DEI-014/CAM-01,Av. Primero de Mayo,CL 45 Sur,4.61427799984848,-74.16479599999998,40,Kennedy,1001027,1165.7486417538048,KR72,CL3;CL9,False,1001028,1165.7486417538048,KR72,CL3;AV.P.MAYO,False
DEI-014/CAM-02,Av. Primero de Mayo,CL 45 Sur,4.614664999848463,-74.16411699999999,40,Kennedy,1001027,1106.7830268100522,KR72,CL3;CL9,False,1001028,1106.7830268100522,KR72,CL3;AV.P.MAYO,False
DEI-015/CAM-01,Av. Ciudad de Cali,CL 133 A,4.739126999844416,-74.099365,30,Suba,1000951,256.90334864187827,AV.SUBA,CL127;HUMEDAL.CORDOBA,True,1000951,256.90334864187827,AV.SUBA,CL127;HUMEDAL.CORDOBA,True
DEI-015/CAM-02,Av. Ciudad de Cali,CL 133 A,4.738996999844432,-74.099386,30,Suba,1000951,253.47168184996173,AV.SUBA,CL127;HUMEDAL.CORDOBA,True,1000951,253.47168184996173,AV.SUBA,CL127;HUMEDAL.CORDOBA,True
DEI-016/CAM-01,Av. NQS,CL 59r,4.649069999847345,-74.078438,50,Teusaquillo,1000306,125.3841179096799,KR10,CL19;CL24,True,1000305,125.3841179096799,KR10,CL19;CL13,True
DEI-016/CAM-02,Av. NQS,CL 59,4.649062999847355,-74.078201,50,Teusaquillo,1000306,121.16715446782146,KR10,CL19;CL24,True,1000305,121.16715446782146,KR10,CL19;CL13,True
DEI-016/CAM-03,Av. NQS,CL 59,4.649534999847324,-74.07881800000001,50,Teusaquillo,1000306,104.19769028529319,KR10,CL19;CL24,True,1000305,104.19769028529319,KR10,CL19;CL13,True
DEI-017/CAM-01,Autopista Norte,CL 100,4.689569999846026,-74.057123,60,Suba,1000773,484.7573357977154,KR50,CL33SUR;CL16SUR,True,1000773,484.7573357977154,KR50,CL33SUR;CL16SUR,True
DEI-017/CAM-02,Autopista Norte,CL 100,4.689557999846029,-74.057024,60,Suba,1000773,495.7397636241797,KR50,CL33SUR;CL16SUR,True,1000773,495.7397636241797,KR50,CL33SUR;CL16SUR,True
DEI-017/CAM-03,Autopista Norte,CL 100,4.689807999846024,-74.056519,60,Usaquén,1000773,544.9101753648524,KR50,CL33SUR;CL16SUR,True,1000773,544.9101753648524,KR50,CL33SUR;CL16SUR,True
DEI-017/CAM-04,Autopista Norte,CL 100,4.68978399984602,-74.056347,60,Usaquén,1000773,564.177819606487,KR50,CL33SUR;CL16SUR,False,1000773,564.177819606487,KR50,CL33SUR;CL16SUR,False
DEI-018/CAM-01,Av. Carrera 10,CL 11 Sur,4.5804409998495865,-74.091327,30,Antonio Nariño,1000214,408.9836905540526,KR5,CL34;CL27,True,1000214,408.9836905540526,KR5,CL34;CL27,True
DEI-018/CAM-02,Av. Carrera 10,CL 11 Sur,4.580291999849585,-74.091083,30,San Cristóbal,1000214,431.59449296042817,KR5,CL34;CL27,True,1000214,431.59449296042817,KR5,CL34;CL27,True
DEI-019/CAM-01,Av. NQS,AC 72,4.66742499984675,-74.07403599999999,50,Barrios Unidos,1000201,409.5114530472632,KR7,CL175;CL170,True,1000202,409.5114530472632,KR7,CL175;CL188,True
DEI-019/CAM-02,Av. NQS,AC 72,4.668772999846709,-74.072153,50,Barrios Unidos,1000203,275.4569023114968,KR7,CL188;CL175,True,1000203,275.4569023114968,KR7,CL188;CL175,True
DEI-020/CAM-01,Av. Ciudad de Cali,AC 80,4.7008169998456655,-74.102772,50,Engativá,1000759,402.72546186665267,KR80,CL26SUR;CL38CSUR,True,1000759,402.72546186665267,KR80,CL26SUR;CL38CSUR,True
DEI-020/CAM-02,Av. Ciudad de Cali,AC 80,4.70049299984568,-74.102949,50,Engativá,1000759,361.8259543590611,KR80,CL26SUR;CL38CSUR,True,1000759,361.8259543590611,KR80,CL26SUR;CL38CSUR,True
DEI-021/CAM-01,Av. Caracas,CL 60,4.646721999847421,-74.064996,50,Chapinero,1001930,376.2034705821505,"TV25,DIAG53,KR24",CL57;CL45,True,1002025,389.9935122504391,AUTONORTE,SANTA.FE;TOBERIN,True
