Codigo_Accidente;Latitud;Longitud;Hora_Acc;Dia_Semana_Acc;Clase_Acc;Gravedad_Indicador_Tradicional;Localidad;corredor_camara;id_camara_cercana;dist_camara_m;anio
10498634;4,62971823499998;-74,133316029;15;martes;Choque;Solo Daños;Kennedy;Av. Américas;DEI-039/CAM-01;11,130021104788195;2019
10498652;4,59746662200001;-74,145369741;21;martes;Choque;Con Heridos;Kennedy;Av. Boyacá;DEI-006/CAM-02;498,9501268374368;2019
10498656;4,62692690799997;-74,1233916;9;miércoles;Choque;Con Heridos;Puente Aranda;Av. Carrera 68;DEI-003/CAM-01;56,76218637774269;2019
10499034;4,66636892899999;-74,111980126;18;sábado;Choque;Solo Daños;Fontibón;Av. Boyacá;DEI-023/CAM-01;342,3009464977272;2019
10499037;4,63089087600002;-74,144344442;9;sábado;Choque;Solo Daños;Kennedy;Av. Américas;DEI-024/CAM-01;111,13836279033696;2019
10499039;4,59413981;-74,141396364;11;sábado;Choque;Solo Daños;Tunjuelito;Av. Boyacá;DEI-006/CAM-02;453,1285492804723;2019
10499044;4,61619675600002;-74,137288183;10;sábado;Choque;Solo Daños;Kennedy;Av. Boyacá;DEI-001/CAM-01;335,8952164983139;2019
10499048;4,69874941799998;-74,055577226;1;sábado;Choque;Solo Daños;Usaquén;Autopista Norte;DEI-029/CAM-03;197,205661176997;2019
10499424;4,62553901500002;-74,121206866;18;jueves;Choque;Solo Daños;Puente Aranda;Av. Carrera 68;DEI-003/CAM-01;284,12169247675854;2019
10499432;4,68130731700001;-74,054840713;17;jueves;Choque;Solo Daños;Chapinero;Autopista Norte;DEI-010/CAM-01;436,9339828209176;2019
10499440;4,68861676099999;-74,056963038;18;jueves;Choque;Solo Daños;Usaquén;Autopista Norte;DEI-017/CAM-02;104,69641748215253;2019
10499442;4,668366402;-74,11469514;18;jueves;Choque;Solo Daños;Fontibón;Av. Boyacá;DEI-023/CAM-01;501,0763151772464;2019
10499812;4,60709351700001;-74,074253992;11;sábado;Choque;Solo Daños;Santa Fe;Av. Carrera 10;DEI-027/CAM-02;63,5159704219618;2019
10499813;4,70872872500001;-74,110704839;19;domingo;Choque;Solo Daños;Engativá;Av. Calle 80;DEI-013/CAM-02;510,5959285039938;2019
10499820;4,69980521100001;-74,051488353;23;sábado;Choque;Solo Daños;Usaquén;Autopista Norte;DEI-029/CAM-04;511,4110941864692;2019
10499821;4,68375147500001;-74,05755676;13;domingo;Choque;Solo Daños;Barrios Unidos;Autopista Norte;DEI-010/CAM-01;41,77323419956958;2019
10499824;4,583846639;-74,123928011;12;domingo;Choque;Solo Daños;Rafael Uribe Uribe;Av. Gaitán Cortés;DEI-005/CAM-01;494,6926101480941;2019
10500205;4,69689448100002;-74,050308943;20;viernes;Choque;Solo Daños;Usaquén;Autopista Norte;DEI-029/CAM-04;534,0930790047927;2019
10500207;4,630417916;-74,167962872;2;sábado;Choque;Solo Daños;Kennedy;Av. Ciudad de Cali;DEI-037/CAM-02;533,0856423889632;2019
10500217;4,582106963;-74,089797765;6;sábado;Choque;Solo Daños;San Cristóbal;Av. Carrera 10;DEI-018/CAM-02;246,85761748194145;2019
10500223;4,59151156500002;-74,145486892;13;sábado;Choque;Con Heridos;Ciudad Bolívar;Av. Boyacá;DEI-006/CAM-01;159,87692603302477;2019
10500608;4,66378178600002;-74,076144613;10;martes;Choque;Solo Daños;Barrios Unidos;Av. NQS;DEI-019/CAM-01;467,2461365819881;2019
10500609;4,72498242299997;-74,072237887;6;martes;Choque;Solo Daños;Suba;Av. Boyacá;DEI-009/CAM-01;291,60503959016967;2019
10500611;4,68117745400002;-74,055062568;7;martes;Choque;Solo Daños;Chapinero;Autopista Norte;DEI-010/CAM-01;427,33421977017537;2019
10500613;4,708570947;-74,110534595;10;martes;Choque;Solo Daños;Engativá;Av. Calle 80;DEI-013/CAM-02;536,3549682365473;2019
10500616;4,60450401899999;-74,070175128;13;martes;Choque;Solo Daños;Santa Fe;Av. Carrera 10;DEI-027/CAM-01;472,61753705716177;2019
10501015;4,62434774500002;-74,124608975;13;viernes;Volcamiento;Solo Daños;Puente Aranda;Av. Carrera 68;DEI-003/CAM-01;371,45758925197487;2019
