id_camara;corredor_principal;via_secundaria;latitud;longitud;velocidad_maxima;localidad;vel_promedio_2019;vel_promedio_2022;delta_vel;delta_vel_pct;num_accidentes_2019;num_accidentes_2022;delta_accidentes;acc_con_heridos_2019;acc_con_heridos_2022;acc_con_muertos_2019;acc_con_muertos_2022;acc_solo_danos_2019;acc_solo_danos_2022;match_2019;match_2022
DEI-001/CAM-01;Av. Boyacá;Av. Primero de Mayo;4,615664000218827;-74,14026699984419;50;Kennedy;23,034702879136145;19,82520932161394;-3,2094935575222046;-13,9;13;7;-6;4;6;0;0;9;1;True;False
DEI-001/CAM-02;Av. Boyacá;Av. Primero de Mayo;4,615397999523576;-74,14026099999641;50;Kennedy;23,034702879136145;19,82520932161394;-3,2094935575222046;-13,9;7;1;-6;4;1;0;0;3;0;True;False
DEI-002/CAM-01;Av. Boyacá;Av. Américas;4,628592999715631;-74,1379799996236;50;Kennedy;36,41143688550092;29,33258670471336;-7,078850180787558;-19,4;13;6;-7;4;3;0;0;9;3;True;True
DEI-002/CAM-02;Av. Boyacá;Av. Américas;4,628479000102544;-74,1379150002246;50;Kennedy;36,41143688550092;29,33258670471336;-7,078850180787558;-19,4;5;2;-3;2;1;0;0;3;1;True;True
DEI-003/CAM-01;Av. Carrera 68;Av. Américas;4,627310999725743;-74,1230539997995;50;Puente Aranda;22,389293400390624;27,338241911903477;4,948948511512853;22,1;4;6;2;1;4;0;0;3;2;True;False
DEI-003/CAM-02;Av. Carrera 68;Av. Américas;4,627578999826209;-74,12298400037763;50;Puente Aranda;22,389293400390624;27,338241911903477;4,948948511512853;22,1;11;3;-8;5;2;0;0;6;1;True;False
DEI-004/CAM-01;Calle 139;TV 136;4,746529199844173;-74,1124386;30;Suba;36,96922966402662;31,782382376900003;-5,186847287126618;-14,0;6;3;-3;5;3;0;0;1;0;False;False
DEI-005/CAM-01;Av. Gaitán Cortés;CL 41 Sur;4,587856999849337;-74,125872;30;Rafael Uribe Uribe;25,119248107321805;21,569930520961464;-3,549317586360342;-14,1;6;6;0;5;5;0;0;1;1;False;False
DEI-006/CAM-01;Av. Boyacá;Autopista Sur;4,592947999849173;-74,145381;50;Tunjuelito;27,406673465677944;25,2056573848762;-2,201016080801743;-8,0;5;5;0;4;4;0;1;1;0;True;True
DEI-006/CAM-02;Av. Boyacá;Autopista Sur;4,592971999849184;-74,145308;50;Tunjuelito;27,406673465677944;25,2056573848762;-2,201016080801743;-8,0;6;3;-3;2;3;0;0;4;0;True;True
DEI-007/CAM-01;Av. Boyacá;CL 53;4,670858999846638;-74,10697600000002;50;Engativá;22,58103212010467;34,87569011809976;12,294657997995092;54,4;10;1;-9;1;0;1;0;8;1;True;True
DEI-007/CAM-02;Av. Boyacá;CL 53;4,671710999846603;-74,106668;50;Engativá;36,806728551648106;34,87569011809976;-1,9310384335483448;-5,2;1;2;1;0;2;0;0;1;0;True;True
DEI-007/CAM-03;Av. Boyacá;CL 63D;4,675943999846486;-74,102881;50;Engativá;36,806728551648106;34,87569011809976;-1,9310384335483448;-5,2;5;5;0;2;5;0;0;3;0;True;True
DEI-008/CAM-01;Av. Bosa;KR 78F;4,6045899998487885;-74,180026;50;Bosa;27,22105371515625;29,321665060348025;2,1006113451917763;7,7;5;3;-2;2;2;0;0;3;1;True;True
DEI-008/CAM-02;Av. Bosa;KR 78F;4,604663999412226;-74,1798620004015;50;Bosa;27,22105371515625;29,321665060348025;2,1006113451917763;7,7;3;1;-2;1;1;0;0;2;0;True;True
DEI-009/CAM-01;Av. Boyacá;Av. Suba;4,722891999844944;-74,073829;50;Suba;32,27736465583788;25,962601516478674;-6,314763139359204;-19,6;4;1;-3;1;1;0;0;3;0;False;False
DEI-009/CAM-02;Av. Boyacá;Av. Suba;4,722667999844954;-74,073843;50;Suba;32,27736465583788;25,962601516478674;-6,314763139359204;-19,6;4;2;-2;2;1;0;0;2;1;False;False
DEI-010/CAM-01;Autopista Norte;CL 94;4,683742999846218;-74,057933;60;Barrios Unidos;29,338014452893308;37,779742511168784;8,441728058275476;28,8;13;5;-8;1;2;0;0;12;3;True;True
DEI-010/CAM-02;Autopista Norte;CL 94;4,683754999846214;-74,058104;60;Barrios Unidos;29,338014452893308;37,779742511168784;8,441728058275476;28,8;0;2;2;0;2;0;0;0;0;True;True
DEI-010/CAM-03;Autopista Norte;CL 94;4,684900999846183;-74,05728599999999;60;Chapinero;29,338014452893308;37,779742511168784;8,441728058275476;28,8;6;4;-2;1;4;0;0;5;0;True;True
DEI-011/CAM-01;Av. Ciudad de Cali;Av. Centenario;4,657055999847091;-74,13819599999998;50;Kennedy;39,348793339806136;24,413579012128185;-14,93521432767795;-38,0;13;6;-7;3;4;1;1;9;1;False;False
DEI-012/CAM-01;Av. NQS;Av. Américas;4,622009999848231;-74,085441;50;Puente Aranda;41,52772614316297;44,40987243947787;2,8821462963149003;6,9;8;6;-2;2;5;0;0;6;1;True;True
DEI-012/CAM-02;Av. NQS;Av. Américas;4,621979999848231;-74,08554439999999;50;Puente Aranda;41,52772614316297;44,40987243947787;2,8821462963149003;6,9;10;3;-7;2;1;1;1;7;1;True;True
DEI-013/CAM-01;Av. Calle 80;KR 102;4,712026999845297;-74,114374;50;Engativá;14,976633344982952;28,396654897830356;13,420021552847404;89,6;5;6;1;1;6;1;0;3;0;False;False
