TID;hora;vel_promedio_hora;corredor_principal;anio
18;0;16,37806513373913;Autopista Norte;2019
18;1;18,211086656607144;Autopista Norte;2019
18;2;19,177694266698115;Autopista Norte;2019
18;3;20,27101441264151;Autopista Norte;2019
18;4;20,821000214495413;Autopista Norte;2019
18;5;18,78815608;Autopista Norte;2019
18;6;11,042837889568965;Autopista Norte;2019
18;7;9,63480440804878;Autopista Norte;2019
18;8;8,843801144758064;Autopista Norte;2019
18;9;8,849482506115702;Autopista Norte;2019
18;10;8,806529780666667;Autopista Norte;2019
18;11;8,464057497073172;Autopista Norte;2019
18;12;8,154112668387096;Autopista Norte;2019
18;13;8,06629697983871;Autopista Norte;2019
18;14;8,360649905887097;Autopista Norte;2019
18;15;8,362776385080645;Autopista Norte;2019
18;16;8,655483299083333;Autopista Norte;2019
18;17;8,320522306583333;Autopista Norte;2019
18;18;7,978353593166667;Autopista Norte;2019
18;19;8,164118883697478;Autopista Norte;2019
18;20;9,61146047075;Autopista Norte;2019
18;21;10,890281142991451;Autopista Norte;2019
18;22;12,471809174;Autopista Norte;2019
18;23;14,659426821864407;Autopista Norte;2019
65;0;31,406351709166664;Av. Carrera 68;2019
65;1;34,397531663781514;Av. Carrera 68;2019
65;2;36,397280192695646;Av. Carrera 68;2019
65;3;37,07606436387931;Av. Carrera 68;2019
65;4;33,9298435789916;Av. Carrera 68;2019
65;5;25,51772835819672;Av. Carrera 68;2019
65;6;18,023397811465514;Av. Carrera 68;2019
65;7;16,839676083057853;Av. Carrera 68;2019
65;8;18,107855168629037;Av. Carrera 68;2019
65;9;17,169953413709678;Av. Carrera 68;2019
65;10;16,1791491875;Av. Carrera 68;2019
65;11;15,796889457288136;Av. Carrera 68;2019
65;12;16,285259508032787;Av. Carrera 68;2019
65;13;17,309722234308943;Av. Carrera 68;2019
65;14;17,80684283707317;Av. Carrera 68;2019
65;15;17,767816694273503;Av. Carrera 68;2019
65;16;18,10886871142857;Av. Carrera 68;2019
65;17;17,753540735378152;Av. Carrera 68;2019
65;18;17,182839103865547;Av. Carrera 68;2019
65;19;18,69064950831933;Av. Carrera 68;2019
65;20;20,16415651975;Av. Carrera 68;2019
65;21;22,401689773916665;Av. Carrera 68;2019
65;22;24,974908228416663;Av. Carrera 68;2019
65;23;28,05502676625;Av. Carrera 68;2019
90;0;32,06758876198198;Av. Boyacá;2019
90;1;33,371006761682246;Av. Boyacá;2019
90;2;35,967420125416666;Av. Boyacá;2019
90;3;35,666644758396224;Av. Boyacá;2019
90;4;34,47719603051724;Av. Boyacá;2019
90;5;30,396930468534485;Av. Boyacá;2019
90;6;23,53657797094828;Av. Boyacá;2019
90;7;18,04835405133333;Av. Boyacá;2019
90;8;16,29990599121951;Av. Boyacá;2019
90;9;15,698197406048388;Av. Boyacá;2019
90;10;15,465983206333334;Av. Boyacá;2019
90;11;16,282187921322315;Av. Boyacá;2019
90;12;17,374400575772356;Av. Boyacá;2019
90;13;18,121596291382115;Av. Boyacá;2019
90;14;18,23289910008197;Av. Boyacá;2019
90;15;18,669734250991738;Av. Boyacá;2019
90;16;18,752078541008405;Av. Boyacá;2019
90;17;18,2512843845;Av. Boyacá;2019
90;18;17,91012051875;Av. Boyacá;2019
90;19;19,478417415000003;Av. Boyacá;2019
90;20;20,73990350016667;Av. Boyacá;2019
90;21;22,70796299708333;Av. Boyacá;2019
90;22;25,934513042521008;Av. Boyacá;2019
90;23;29,38196502827586;Av. Boyacá;2019
92;0;31,95381166914285;Av. Boyacá;2019
92;1;32,71102596826087;Av. Boyacá;2019
92;2;34,642583083125;Av. Boyacá;2019
92;3;35,44447173756757;Av. Boyacá;2019
92;4;33,665178940888886;Av. Boyacá;2019
92;5;27,84288881016393;Av. Boyacá;2019
92;6;19,840951314913795;Av. Boyacá;2019
92;7;15,509692371626016;Av. Boyacá;2019
92;8;16,414300349512196;Av. Boyacá;2019
92;9;15,587497005284552;Av. Boyacá;2019
92;10;15,02614882983471;Av. Boyacá;2019
92;11;15,623392792601626;Av. Boyacá;2019
92;12;16,45987739622951;Av. Boyacá;2019
92;13;16,664859341788617;Av. Boyacá;2019
92;14;14,7522142975;Av. Boyacá;2019
92;15;16,63955680270492;Av. Boyacá;2019
92;16;18,472348409310342;Av. Boyacá;2019
92;17;19,03119793805085;Av. Boyacá;2019
92;18;19,72993769;Av. Boyacá;2019
92;19;22,433832800258617;Av. Boyacá;2019
92;20;23,05189798381356;Av. Boyacá;2019
92;21;23,30984543252252;Av. Boyacá;2019
92;22;26,783643212882883;Av. Boyacá;2019
92;23;30,353616704528303;Av. Boyacá;2019
149;0;32,004407082499995;Av. Bosa;2019
149;1;38,8239366;Av. Bosa;2019
149;2;50,6553192075;Av. Bosa;2019
149;3;50,19197352125;Av. Bosa;2019
149;4;49,6311523325;Av. Bosa;2019
149;5;29,212272155;Av. Bosa;2019
149;6;21,34844972875;Av. Bosa;2019
149;7;23,46657685375;Av. Bosa;2019
149;8;26,54138608375;Av. Bosa;2019
149;9;24,05577411625;Av. Bosa;2019
149;10;22,54012729125;Av. Bosa;2019
149;11;25,02644975125;Av. Bosa;2019
149;12;22,56342795875;Av. Bosa;2019
149;13;25,57615745875;Av. Bosa;2019
149;14;25,22058833375;Av. Bosa;2019
149;15;19,109635897;Av. Bosa;2019
149;16;19,790535375;Av. Bosa;2019
149;17;20,5459671875;Av. Bosa;2019
149;18;16,558595103;Av. Bosa;2019
149;19;19,589564875;Av. Bosa;2019
149;20;21,11411562375;Av. Bosa;2019
149;21;14,794263375;Av. Bosa;2019
149;22;27,21717575125;Av. Bosa;2019
149;23;27,72743750125;Av. Bosa;2019
1000036;0;43,68992142721739;Autopista Norte;2019
1000036;1;45,62805969525862;Autopista Norte;2019
1000036;2;48,9833495187156;Autopista Norte;2019
1000036;3;50,201678592777775;Autopista Norte;2019
1000036;4;49,7630427890909;Autopista Norte;2019
1000036;5;46,11601236960784;Autopista Norte;2019
1000036;6;30,182625018292683;Autopista Norte;2019
1000036;7;18,89284019981132;Autopista Norte;2019
1000036;8;18,897090425;Autopista Norte;2019
1000036;9;19,033121330569102;Autopista Norte;2019
1000036;10;19,40528113413223;Autopista Norte;2019
1000036;11;19,919937363252032;Autopista Norte;2019
1000036;12;20,520514899112904;Autopista Norte;2019
1000036;13;20,192449009919358;Autopista Norte;2019
1000036;14;22,020442533064514;Autopista Norte;2019
1000036;15;23,248301847903225;Autopista Norte;2019
1000036;16;21,597412459666668;Autopista Norte;2019
1000036;17;21,190871834333333;Autopista Norte;2019
1000036;18;19,63128833689076;Autopista Norte;2019
1000036;19;21,15508601743589;Autopista Norte;2019
1000036;20;23,697473706083333;Autopista Norte;2019
1000036;21;26,68573556425;Autopista Norte;2019
1000036;22;32,174007178793104;Autopista Norte;2019
1000036;23;41,28580361826087;Autopista Norte;2019
1000199;0;45,457927453;Av. Carrera 10;2019
