_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,TID_cercano,distancia_grados,distancia_metros_aprox,corredor_from,corredor_to,lat_corredor,lon_corredor,match_valido,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,tiene_velocidad
163801,10498633,-74.112615831,4.62824705899999,CL 9-KR 56 30,2019,Octubre,1,martes,8,30,Puente Aranda,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0.0028018828966030755,311.0090015229414,"AV.AMERICAS,KR50",KR62;CL5A,4.6297271,-74.11023675,1.0,19.97434594137097,,0.0,124.0,1.0
163802,10498634,-74.133316029,4.62971823499998,AV AVENIDA DE LAS AMERICAS-KR 71A 02,2019,Octubre,1,martes,15,5,Kennedy,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002293.0,0.0029190773212326043,324.01758265681906,CL53,KR72;CL63,4.62701775,-74.13220770000001,1.0,13.0298480934375,,0.0,32.0,1.0
163803,10498635,-74.079575049,4.63396417199999,AC 45-KR 30 02,2019,Octubre,2,miércoles,1,40,Teusaquillo,Choque,Objeto Fijo,Objeto Fijo,Con Muertos,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0.0013056674943124208,144.9290918686787,TV28;KR27,CL22C;CL30SUR,4.63451755,-74.07839245,1.0,39.12077611278481,,0.0,79.0,1.0
163804,10498636,-74.047630904,4.68512445599998,CL 100-KR 14 63,2019,Octubre,2,miércoles,9,50,Usaquén,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1002017.0,0.004810892796207435,534.0091003790253,AUTONORTE,ALCALA;PRADO,4.6892508,-74.04515745,1.0,34.59864603540322,,0.0,124.0,1.0
163806,10498638,-74.111610418,4.65467776000003,CL 24-KR 69 02,2019,Octubre,2,miércoles,8,30,Fontibón,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0.005597239675341792,621.293603962939,CL76,KR7;KR15,4.6575472,-74.10680465,0.0,10.957710219516128,,0.0,124.0,0.0
163807,10498639,-74.059784749,4.66766854000002,KR 19A-CL 79 81,2019,Octubre,1,martes,11,20,Chapinero,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000693.0,0.0057057182582716534,633.3347266681535,CL13,KR56;KR65,4.6657333,-74.06515225000001,0.0,22.8193434634,,0.0,100.0,0.0
163808,10498640,-74.119305432,4.64957504099999,KR 69B-CL 19A 47,2019,Octubre,2,miércoles,6,42,Fontibón,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0,0.0029294366206537377,325.1674648925649,DIAG16,CL17;KR129,4.64725615,-74.1210955,1.0,22.168406634913794,,0.0,116.0,1.0
163809,10498641,-74.061642734,4.66012064300003,AV AVENIDA CARACAS-CL 72A 28,2019,Octubre,1,martes,16,30,Chapinero,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000707.0,0.0008145412532565791,90.41407911148028,CL13,KR47;KR39,4.6608924,-74.06190325,1.0,20.095425740796458,,0.0,113.0,1.0
163810,10498642,-74.105412885,4.651868224,CL 24C-KR 68 02,2019,Octubre,2,miércoles,10,0,Fontibón,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001983.0,0.00027181321786144,30.171267182619843,NQS,AV.DORADO;CAD,4.651686,-74.1052112,1.0,35.80720067194444,,0.0,36.0,1.0
163811,10498643,-74.055206051,4.73573790099999,KR 54-CL 152 02,2019,Octubre,1,martes,16,53,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1000175.0,0.005487898839854679,609.1567712238693,CL106,KR19;KR15,4.73962495,-74.05133205,0.0,13.7130296425,,0.0,120.0,0.0
163812,10498644,-74.08191009,4.62570875,AK 30-CL 25 02,2019,Octubre,2,miércoles,14,14,Los Mártires,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002036.0,0.004535579752320908,503.4493525076208,CL26,GOBERNACION;KR40,4.629466150000001,-74.08445045,1.0,37.316260070403224,,0.0,124.0,1.0
163813,10498645,-74.086913236,4.74066003299998,CL 146A-KR 94C 02,2019,Octubre,1,martes,21,41,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1002030.0,0.004621969471955188,513.0386113870259,AV.SUBA,21.ANGELES;CL136,4.742438,-74.09117954999999,1.0,47.40925736095652,,0.0,115.0,1.0
163814,10498646,-74.081872794,4.69879114100002,AV AVENIDA BOYACA-CL 99 76,2019,Octubre,2,miércoles,18,4,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002014.0,0.002395425337098912,265.8922124179792,AUTONORTE,CL127;PRADO,4.6964302,-74.0814678,1.0,33.87978230358333,,0.0,120.0,1.0
163815,10498647,-74.184626533,4.62253797300002,CL 57-KR 86K S 02,2019,Octubre,2,miércoles,21,14,Bosa,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,76.0,0.015419149465559546,1711.5255906771097,KR86,CL57BSUR;KR91,4.616729,-74.1989096,0.0,19.76513903281818,,0.0,110.0,0.0
163816,10498648,-74.15398849,4.65402101400002,CL 9-KR 90A 2,2019,Octubre,1,martes,22,0,Kennedy,Choque,Vehículo,,Con Heridos,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000713.0,6.695173630511238e-05,7.431642729867475,CL72,KR76;KR86,4.6540506,-74.15404855,1.0,15.001321711680673,,0.0,119.0,1.0
163817,10498649,-74.12895646,4.65466244999999,CL 18A-KR 77 2,2019,Octubre,1,martes,13,34,Fontibón,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001942.0,0.00542276810219539,601.9272593436883,CL43SUR,KR80;AV.P.MAYO,4.6597451,-74.1270662,0.0,14.7920075825,,0.0,124.0,0.0
163818,10498650,-74.100866415,4.56507435200001,KR 7A-CL 34 S 02,2019,Octubre,2,miércoles,6,0,San Cristóbal,Choque,Vehículo,,Con Heridos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.004664930066210592,517.8072373493757,CL34;AV.AMERICAS,AV.CARACAS;KR86,4.5667841,-74.0965261,1.0,30.648101680431033,,0.0,116.0,1.0
163819,10498651,-74.124260273,4.56069121899998,KR 12-CL 51 S 2,2019,Octubre,2,miércoles,18,50,Rafael Uribe Uribe,Choque,Vehículo,,Con Heridos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0.009008593631510929,999.9538930977131,AV.CARACAS,AV.P.MAYO;CL80,4.5552695,-74.11706585,0.0,15.82055370252174,,0.0,115.0,0.0
163820,10498652,-74.145369741,4.59746662200001,AV AVENIDA BOYACA-CL 44C S 02,2019,Octubre,1,martes,21,30,Kennedy,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000698.0,0.003198296553494381,355.0109174378763,"AV.AMERICAS,CL34",KR36;KR28,4.6006212,-74.14589674999999,1.0,31.167176152916667,,0.0,120.0,1.0
