localidad,C.29,C.29 - C.14 - C.35 - D.02,C.29 - C.35 - D.02,C.29 - D.04 - C.35 - D.02,D.04 - C.29 - C.14 - C.35 - D.02,D.04 - C.35 - D.02,D.04 - D.02 - C.14 - C.35
Antonio Nariño,0,1,0,0,0,0,0
Barrios Unidos,0,4,0,0,0,0,0
Bosa,0,2,2,0,0,2,0
Chapinero,0,4,0,0,1,0,0
Ciudad Bolívar,0,0,1,0,0,2,0
Engativá,3,4,4,0,0,0,0
Fontibón,0,2,0,0,0,0,0
Kennedy,0,10,2,0,0,0,2
Puente Aranda,0,4,0,0,0,0,0
Rafael Uribe Uribe,0,2,0,0,0,0,0
San Cristóbal,0,1,0,0,0,0,0
Santa Fe,0,0,0,2,0,0,0
Suba,0,9,6,2,0,0,2
Teusaquillo,0,3,0,0,1,0,0
Tunjuelito,0,2,0,0,0,0,0
Usaquén,0,6,6,0,0,0,0
