corredor_camara,acc_2019,acc_2022,delta_acc,tasa_dia_2019,tasa_dia_2022
Autopista Norte,104,28,-76,3.35,0.9
Av. Boyacá,94,46,-48,3.03,1.48
Av. Carrera 10,48,15,-33,1.55,0.48
Av. NQS,56,27,-29,1.81,0.87
Av. Ciudad de Cali,64,38,-26,2.06,1.23
Av. Américas,27,10,-17,0.87,0.32
Av. Calle 80,30,14,-16,0.97,0.45
Autopista Sur,25,9,-16,0.81,0.29
Av. Carrera 68,25,14,-11,0.81,0.45
Av. Carrera 9,13,4,-9,0.42,0.13
Av. Primero de Mayo,14,5,-9,0.45,0.16
Av. Carrera 7,10,1,-9,0.32,0.03
Av Villavicencio,15,8,-7,0.48,0.26
Av. Caracas,20,15,-5,0.65,0.48
Av. Bosa,8,4,-4,0.26,0.13
Calle 139,6,3,-3,0.19,0.1
Av. Gaitán Cortés,6,6,0,0.19,0.19
Calle 63 Sur,1,4,3,0.03,0.13
