hora,vel_2019,vel_2022,delta_vel,delta_pct
0,39.559772742358746,41.42156407775798,1.8617913353992321,4.7
1,41.55450002875181,42.62772621312696,1.0732261843751516,2.6
2,43.41267948052905,42.6576288441505,-0.7550506363785487,-1.7
3,43.89690266810933,42.643052100785596,-1.253850567323731,-2.9
4,42.63261236046018,40.05883454849559,-2.5737778119645895,-6.0
5,35.068538849202675,33.57862632496984,-1.4899125242328353,-4.2
6,26.155402188757222,28.459580263490587,2.3041780747333647,8.8
7,23.42393601644564,26.693387366537173,3.2694513500915328,14.0
8,23.863016039622455,26.65231868806788,2.7893026484454246,11.7
9,22.659579668859152,26.860181286631576,4.200601617772424,18.5
10,22.202041468106767,26.82338815795175,4.621346689844984,20.8
11,22.4901392417157,26.425101928790042,3.934962687074343,17.5
12,22.299608376969,25.767570841574837,3.4679624646058365,15.6
13,22.746166956288665,26.011855994135963,3.2656890378472987,14.4
14,23.33032925999241,26.77190570171491,3.4415764417225,14.8
15,24.08192242821408,26.285078858888884,2.2031564306748024,9.1
16,24.204325231774863,26.1755854553651,1.9712602235902352,8.1
17,23.392384603921837,25.029406456264855,1.6370218523430182,7.0
18,22.444970372531884,24.407965672633697,1.962995300101813,8.7
19,24.60371033514797,27.36377447910055,2.7600641439525795,11.2
20,26.579564047975666,30.358233071340422,3.778669023364756,14.2
21,28.70699362342913,32.614945654481545,3.907952031052414,13.6
22,32.34740415881373,34.98841915124094,2.641014992427209,8.2
23,36.374945708831824,39.03613732382656,2.6611916149947348,7.3
