Hora_Acc,num_accidentes,vel_promedio,vel_mediana,vel_std
0,39,37.86956833472534,36.402761647821436,12.405134868694308
1,32,40.20878552362272,38.658196260477204,12.457741808986789
2,25,41.733189284249555,40.56802452808823,12.413283022790194
3,17,42.477620235337724,40.88272109065788,12.597115645982283
4,31,41.02681392541225,39.40202886902604,12.577464726774032
5,76,34.94437265201629,33.05999444508197,11.929655826682524
6,156,26.76010840482498,24.631996755676763,9.809412594514088
7,187,23.04278993517224,21.40500165581301,8.780673375823955
8,169,22.631994088343607,21.161454083354165,8.926455649577214
9,162,21.82586723713361,19.99312935902947,8.88603248786515
10,166,21.42492804536697,19.820131905459178,8.844545412339325
11,170,21.06718442850962,19.36924128070575,8.85814455257212
12,150,20.70685671219435,19.07937088057851,8.730950365752278
13,175,20.630820861993993,18.956791432190858,8.513669153937716
14,205,20.823848099060147,19.06576422913126,8.522723993700875
15,183,21.815161252608707,20.02200837868644,8.768357141276466
16,165,21.820928338561643,20.147113162595083,8.616244154585587
17,153,20.71187763867633,19.298255126149122,8.159616235664892
18,180,19.901474888325726,18.315459588933614,7.853482439386333
19,165,21.744359171201648,19.8857204921875,8.45656124647584
20,117,23.642160199202657,21.950972428666667,9.03384374647685
21,111,26.518738473564984,24.86629782794966,9.951221457948725
22,72,29.68142888998399,28.298301832122547,10.828935592371755
23,57,34.13632927379232,32.70785828546479,11.897178467762853
